content_id,title,series_name,season_number,episode_number,genre,target_age_group,production_type,release_date,duration_minutes,production_cost_euros
les_chroniques_de_usage_s03e08_0,Les Chroniques de Usage - S03E08,Les Chroniques de Usage,3,8,Aventure,9-12 ans,Achat,2024-11-23,38,27949
les_chroniques_de_armer_s01e10_1,Les Chroniques de Armer - S01E10,Les Chroniques de Armer,1,10,Aventure,9-12 ans,Original BigMedia,2024-06-24,26,81841
les_chroniques_de_supposer_s02e01_2,Les Chroniques de Supposer - S02E01,Les Chroniques de Supposer,2,1,Aventure,3-5 ans,Original BigMedia,2025-07-25,43,103495
les_chroniques_de_an_s01e06_3,Les Chroniques de An - S01E06,Les Chroniques de An,1,6,Science-Fiction,9-12 ans,Original BigMedia,2024-03-09,43,61694
les_chroniques_de_nouveau_s01e09_4,Les Chroniques de Nouveau - S01E09,Les Chroniques de Nouveau,1,9,Fantaisie,3-5 ans,Original BigMedia,2023-12-15,37,163930
les_chroniques_de_petit_s03e10_5,Les Chroniques de Petit - S03E10,Les Chroniques de Petit,3,10,Éducatif,6-8 ans,Achat,2023-12-25,41,25277
les_chroniques_de_si_s03e09_6,Les Chroniques de Si - S03E09,Les Chroniques de Si,3,9,Éducatif,3-5 ans,Original BigMedia,2024-04-06,45,55828
les_chroniques_de_demain_s01e04_7,Les Chroniques de Demain - S01E04,Les Chroniques de Demain,1,4,Éducatif,3-5 ans,Original BigMedia,2024-05-10,40,142409
les_chroniques_de_armer_s01e02_8,Les Chroniques de Armer - S01E02,Les Chroniques de Armer,1,2,Éducatif,9-12 ans,Achat,2024-05-30,20,42608
les_chroniques_de_genou_s02e01_9,Les Chroniques de Genou - S02E01,Les Chroniques de Genou,2,1,Éducatif,9-12 ans,Original BigMedia,2025-07-18,21,86689
les_chroniques_de_demain_s02e01_10,Les Chroniques de Demain - S02E01,Les Chroniques de Demain,2,1,Science-Fiction,6-8 ans,Achat,2024-10-01,19,42790
les_chroniques_de_si_s02e10_11,Les Chroniques de Si - S02E10,Les Chroniques de Si,2,10,Comédie,9-12 ans,Achat,2025-06-05,39,19053
les_chroniques_de_an_s02e09_12,Les Chroniques de An - S02E09,Les Chroniques de An,2,9,Fantaisie,6-8 ans,Achat,2025-06-07,38,44981
les_chroniques_de_oreille_s02e07_13,Les Chroniques de Oreille - S02E07,Les Chroniques de Oreille,2,7,Fantaisie,9-12 ans,Original BigMedia,2024-11-15,19,67713
les_chroniques_de_supposer_s03e08_14,Les Chroniques de Supposer - S03E08,Les Chroniques de Supposer,3,8,Fantaisie,6-8 ans,Achat,2024-06-16,37,45882
les_chroniques_de_petit_s01e10_15,Les Chroniques de Petit - S01E10,Les Chroniques de Petit,1,10,Éducatif,9-12 ans,Original BigMedia,2025-09-28,29,78564
les_chroniques_de_supposer_s03e01_16,Les Chroniques de Supposer - S03E01,Les Chroniques de Supposer,3,1,Fantaisie,6-8 ans,Original BigMedia,2024-06-07,38,191488
les_chroniques_de_genou_s01e10_17,Les Chroniques de Genou - S01E10,Les Chroniques de Genou,1,10,Comédie,9-12 ans,Original BigMedia,2024-04-28,34,96678
les_chroniques_de_supposer_s01e02_18,Les Chroniques de Supposer - S01E02,Les Chroniques de Supposer,1,2,Fantaisie,9-12 ans,Original BigMedia,2024-06-07,15,199792
les_chroniques_de_nouveau_s03e02_19,Les Chroniques de Nouveau - S03E02,Les Chroniques de Nouveau,3,2,Science-Fiction,6-8 ans,Achat,2025-05-21,41,19250
les_chroniques_de_nouveau_s01e04_20,Les Chroniques de Nouveau - S01E04,Les Chroniques de Nouveau,1,4,Aventure,6-8 ans,Original BigMedia,2025-10-01,40,140410
les_chroniques_de_petit_s03e05_21,Les Chroniques de Petit - S03E05,Les Chroniques de Petit,3,5,Fantaisie,6-8 ans,Achat,2025-03-29,20,49932
les_chroniques_de_petit_s03e10_22,Les Chroniques de Petit - S03E10,Les Chroniques de Petit,3,10,Fantaisie,3-5 ans,Achat,2024-06-30,29,24285
les_chroniques_de_demain_s03e01_23,Les Chroniques de Demain - S03E01,Les Chroniques de Demain,3,1,Comédie,3-5 ans,Achat,2025-04-04,26,20409
les_chroniques_de_oreille_s03e07_24,Les Chroniques de Oreille - S03E07,Les Chroniques de Oreille,3,7,Éducatif,6-8 ans,Achat,2025-11-08,23,32813
les_chroniques_de_oreille_s01e01_25,Les Chroniques de Oreille - S01E01,Les Chroniques de Oreille,1,1,Science-Fiction,9-12 ans,Achat,2024-12-30,16,34445
les_chroniques_de_usage_s01e02_26,Les Chroniques de Usage - S01E02,Les Chroniques de Usage,1,2,Fantaisie,6-8 ans,Achat,2025-06-14,37,23881
les_chroniques_de_oreille_s02e04_27,Les Chroniques de Oreille - S02E04,Les Chroniques de Oreille,2,4,Fantaisie,9-12 ans,Achat,2024-01-18,28,19433
les_chroniques_de_genou_s01e06_28,Les Chroniques de Genou - S01E06,Les Chroniques de Genou,1,6,Éducatif,6-8 ans,Original BigMedia,2024-06-22,33,142249
les_chroniques_de_genou_s01e09_29,Les Chroniques de Genou - S01E09,Les Chroniques de Genou,1,9,Éducatif,6-8 ans,Original BigMedia,2025-09-04,43,144950
les_chroniques_de_supposer_s02e03_30,Les Chroniques de Supposer - S02E03,Les Chroniques de Supposer,2,3,Éducatif,9-12 ans,Achat,2023-12-11,45,32628
les_chroniques_de_armer_s01e07_31,Les Chroniques de Armer - S01E07,Les Chroniques de Armer,1,7,Science-Fiction,9-12 ans,Achat,2024-05-23,29,28413
